file,genre,language,cluster_vae,cluster_pca
"/content/english/Jazz/Relaxing Jazz Instrumental Music For Study,Work,Relax - Cafe Music - Background Music.wav",Jazz,English,7,3
/content/english/Jazz/Jazz Music ｜ Classic Jazz Saxophone Music ｜ Relaxing Jazz Background Music ｜ Soft Jazz.wav,Jazz,English,7,3
"/content/english/Jazz/4K Cozy Coffee Shop with Smooth Piano Jazz Music for Relaxing, Studying and Working.wav",Jazz,English,7,3
/content/english/Jazz/Work & Jazz ☕ Chill Out of Soft Jazz Instrumental Music & Relaxing Elegant Bossa Nova.wav,Jazz,English,7,3
"/content/english/Jazz/Happy Jazz & Bossa Nova Music - Happy Cafe Music For Work, Study.wav",Jazz,English,7,3
/content/english/Jazz/Nightly Sleep Jazz Piano Music with Rain Sounds - Soft Jazz Instrumental - Soothing Background Music.wav,Jazz,English,7,3
/content/english/Jazz/Soft Seaside Jazz Music - Relaxing Jazz For Happy and Peace Morning - Morning Jazz Delight.wav,Jazz,English,7,3
/content/english/Jazz/Motown Jazz - Smooth Jazz Music & Jazz Instrumental Music for Relaxing and Study ｜ Soft Jazz.wav,Jazz,English,7,3
/content/english/Jazz/vintage jazz on a rainy 1940s night ｜ cozy ambience to relax.wav,Jazz,English,7,3
/content/english/Jazz/Nostalgic Jazz On A Vintage Music Player 💽 Swing Jazz 🎹 Smooth Jazz Instrumental Music.wav,Jazz,English,7,3
/content/english/Jazz/It's 1940s and you're listening to vintage jazz on a cozy rainy night.wav,Jazz,English,7,3
/content/english/Jazz/Just Thinking...Retro Jazz.wav,Jazz,English,7,4
/content/english/Jazz/Elegant April Night Jazz & Gentle Rain Sound by the Window ｜ Relaxing Piano Jazz for Sleep Tight.wav,Jazz,English,7,3
/content/english/Jazz/Relaxing Jazz Instrumental Music at Night - Soothing of Sleep Jazz Piano Music & Delicate Jazz Music.wav,Jazz,English,7,3
"/content/english/Jazz/1940's Jazz Classics [Jazz, Jazz Classics, Smooth Jazz, Vintage Jazz].wav",Jazz,English,1,3
/content/english/Classical/Sacred Classical Music.wav,Classical,English,5,3
/content/english/Classical/7 Hours Classical Music ｜ Symphonic Orchestral Non Stop Music.wav,Classical,English,3,1
"/content/english/Classical/Classical Music for Relaxation： Mozart, Bach, Tchaikovsky....wav",Classical,English,4,4
/content/english/Classical/Vivaldi： The Four Seasons (Orquesta Reino de Aragón).wav,Classical,English,3,1
"/content/english/Classical/Peaceful Classical Music ｜ Bach, Mozart, Vivaldi....wav",Classical,English,5,1
/content/english/Classical/Beethoven： Symphony No. 7 ｜ Bernard Haitink & the Royal Concertgebouw Orchestra.wav,Classical,English,0,5
"/content/english/Classical/Classical Music for Studying & Brain Power ｜ Mozart, Vivaldi, Tchaikovsky....wav",Classical,English,4,4
/content/english/Classical/50 Most Beautiful Classical Music Pieces.wav,Classical,English,4,4
/content/english/Classical/100 Concertos  - Classical Music.wav,Classical,English,5,0
/content/english/Classical/Classical and Orchestral Film Music.wav,Classical,English,5,4
/content/english/Classical/Beethoven： Symphony No. 9 ｜ Jordi Savall with Le Concert des Nations (complete symphony).wav,Classical,English,0,5
/content/english/Classical/Schubert： Symphony in C major ＂The Great＂ ⧸ Munich Philharmonic Orchestra.wav,Classical,English,0,5
/content/english/Classical/Mozart： Symphony No. 41 Jupiter ｜ Hartmut Haenchen & Carl Philipp Emanuel Bach Chamber Orchestra.wav,Classical,English,0,5
"/content/english/Classical/Classical Music for Brain Power ｜ Mozart, Beethoven, Vivaldi....wav",Classical,English,4,4
"/content/english/Classical/Classical Music for Relaxation ｜ Mozart, Dvořák, Bach....wav",Classical,English,5,0
"/content/english/Classical/10 Hours Classical Music ｜  Mozart, Bach, Chopin....wav",Classical,English,5,3
/content/english/Classical/Symphony No. 2 ⧸ Sergei Rachmaninoff ⧸ Vasily Petrenko ⧸ Oslo Philharmonic.wav,Classical,English,0,5
/content/english/Classical/Light Academia Classical Music.wav,Classical,English,4,4
"/content/english/Classical/Rock Goes Classical ｜ Rock Songs on Piano, Violin & Cello.wav",Classical,English,5,0
/content/english/Classical/Mozart： Symphony No. 35 Haffner ｜ Bernard Haitink and the Royal Concertgebouw Orchestra.wav,Classical,English,0,5
/content/english/HipHop/Rap Music 2025 - Hip Hop Playlist - Top Rap Songs 2025 Hip Hop Mix 🔥💸 Drake Kendrick Lamar Future.wav,HipHop,English,1,2
/content/english/HipHop/Tyga - Taste (Official Video) ft. Offset.wav,HipHop,English,6,6
/content/english/HipHop/The Notorious B.I.G. - Big Poppa (Official Music Video).wav,HipHop,English,2,7
"/content/english/HipHop/DJ Khaled - I'm The One ft. Justin Bieber, Quavo, Chance the Rapper, Lil Wayne.wav",HipHop,English,2,7
/content/english/HipHop/90's Hip Hop Mix #01 ｜ Best of Old School Rap Songs ｜ Throwback Rap Classics ｜ Westcoast ｜ Eastcoast.wav,HipHop,English,6,2
/content/english/HipHop/Coolio - Gangsta's Paradise (feat. L.V.) [Official 4K Music Video].wav,HipHop,English,6,6
/content/english/HipHop/Kodak Black - Super Gremlin [Official Music Video].wav,HipHop,English,6,2
/content/english/HipHop/Nelly - Country Grammar (Hot...) (Official Music Video).wav,HipHop,English,6,2
/content/english/HipHop/Missy Elliott - Work It [Official Music Video].wav,HipHop,English,6,2
/content/english/HipHop/Warren G - Regulate (Official Music Video) ft. Nate Dogg.wav,HipHop,English,1,1
/content/english/HipHop/Roddy Ricch - The Box [Official Music Video].wav,HipHop,English,7,6
/content/english/HipHop/90's Hip Hop Mix #06 ｜ Best of Old School Rap Songs ｜ Throwback Rap Classics ｜ Westcoast ｜ Eastcoast.wav,HipHop,English,6,2
"/content/english/HipHop/The Game, 50 Cent - Hate It Or Love It (Official Music Video).wav",HipHop,English,3,2
/content/english/HipHop/50 Cent - In Da Club (Official Music Video).wav,HipHop,English,6,7
"/content/english/HipHop/Blackstreet - No Diggity (Official Music Video) ft. Dr. Dre, Queen Pen.wav",HipHop,English,3,0
/content/english/HipHop/New Hip Hop R&B Songs 2026 Mix April ｜ Hot Right Now #156 ｜ New Rap 2026 Playlist ｜ DJ Noize.wav,HipHop,English,6,2
/content/english/HipHop/DaBaby - BOP on Broadway (Hip Hop Musical).wav,HipHop,English,3,7
/content/english/HipHop/The Notorious B.I.G. - Juicy (Official Video) [4K].wav,HipHop,English,3,2
/content/english/HipHop/Best of 2000's Old School Hip Hop & RnB Mix ｜ Throwback Rap & RnB Dance Music #8.wav,HipHop,English,6,2
/content/english/HipHop/2Pac - Hit 'Em Up (Dirty) (Music Video) HD.wav,HipHop,English,6,2
/content/english/Blues/Daniel Castro - I'll Play The Blues For You.wav,Blues,English,6,3
/content/english/Blues/Whiskey Blues Guitar Lounge ｜ Smooth Slow Blues for Midnight Moments.wav,Blues,English,7,3
/content/english/Blues/Deep Southern Blues – Music for a Broken Soul.wav,Blues,English,7,3
/content/english/Blues/Whiskey Blues - Alcoholic music(Audio) 1.wav,Blues,English,3,3
/content/english/Blues/Relaxing Blues and Rock Ballads – Music for Peaceful Sleepless Nights.wav,Blues,English,1,3
/content/english/Blues/Blues In My Soulful Vol. 1 ｜ Emotional Blues Guitar Instrumentals 🎸.wav,Blues,English,1,3
/content/english/Blues/Smooth Blues Music - Relaxing Whiskey Blues played on Guitar and Piano.wav,Blues,English,1,3
/content/english/Blues/Midnight Whiskey Blues ｜ Slow Emotional Guitar for Late-Night Chill & Deep Soul Sessions.wav,Blues,English,7,3
/content/english/Blues/Deeply Emotional Blues Vol. 1  ｜  Smooth & Gentle Blues Guitar Instrumental.wav,Blues,English,7,3
/content/english/Blues/Slow Blues Ballads 🥃 Classic Blues Rock Night Music 🥃 Dive into Delicate Blues Sadness.wav,Blues,English,6,4
/content/english/Blues/Calm Blues Guitar for Quiet Evenings & Inner Stillness.wav,Blues,English,7,1
/content/english/Blues/Walking Blues (Robert Johnson) feat. Keb' Mo' ｜ Playing For Change ｜ Song Around The World.wav,Blues,English,3,0
/content/english/Blues/Acoustic Guitar Blues. Relax on the waves of blues rhythms.wav,Blues,English,1,0
/content/english/Blues/Evan Nicole Bell - Catfish Blues Live at the Clubhouse.wav,Blues,English,2,7
/content/english/Blues/Elegant Blues - Whiskey Rock Music for a Relaxing Work Blues Escape ｜ Unwind after Hours.wav,Blues,English,7,4
/content/english/Blues/Beautiful Texas Blues Guitar – Midnight Blues.wav,Blues,English,7,3
/content/english/Blues/Best Blues Music - Beautilful Relaxing Blues Music -The Best of Slow Blues Rock Ballads.wav,Blues,English,1,3
/content/english/Blues/Texas Blues Guitar – Steady Groove Session (Long Play).wav,Blues,English,1,3
"/content/english/Blues/Blues for Men – Best old school blues ballads – Whiskey, soul, and guitar 🎸.wav",Blues,English,7,3
/content/english/Blues/Whiskey Blues Music -BEST OLD SCHOOL BLUES MUSIC ALL TIME - Beautiful Relaxing Blues Songs [ Album ].wav,Blues,English,6,4
/content/english/Country/70's 80's 90's Country Music Hits Playlist Full Songs - Top 100 Classic Country Songs Of All Time.wav,Country,English,1,0
/content/english/Country/Kenny Rogers - The Gambler.wav,Country,English,3,0
/content/english/Country/Best Classic Country Songs of All Time 🎸 Greatest Old Country Music Hits.wav,Country,English,1,3
/content/english/Country/Golden Country Love Songs – Classic Country Hits Playlist 🤠🎶.wav,Country,English,1,0
/content/english/Country/Best Country Hits Ever – Greatest Hits Oldies Classic Country Songs With Lyrics.wav,Country,English,1,0
"/content/english/Country/The Best Of Country Songs Of All Time 🔥Alan Jackson, John Denver, Kenny Rogers, Willie Nelson.wav",Country,English,1,2
/content/english/Country/Garth Brooks： Greatest Hits [Full Album] 2019 ｜ The Best Of Garth Brooks.wav,Country,English,4,4
/content/english/Country/Classic Country Music Greatest Hits ｜ Best Old Country Songs Playlist 2026.wav,Country,English,3,4
/content/english/Country/Top 100 Classic Country Love & Heartbreak Songs  ｜ Best Old Country Hits 70s–90s.wav,Country,English,4,4
/content/english/Country/Alan Jackson - Remember When (Official HD Video).wav,Country,English,4,4
"/content/english/Country/Country Music Playlist 2025 ❤️ Alan Jackson, Kenny Rogers, Dolly Parton, Willie Nelson, Don Williams.wav",Country,English,1,2
/content/english/Country/The Best 70s Country Music Hits ｜ Greatest 1970's Country Songs Playlist.wav,Country,English,3,0
/content/english/Country/Best Classic Country Songs – Golden Memories Collection ｜ Timeless Country Melodies.wav,Country,English,1,0
/content/english/Country/Country Music 2025 - Top Country Songs Playlist - Morgan Wallen Zach Bryan Luke Combs Thomas Rhett.wav,Country,English,6,2
"/content/english/Country/Best Classic Country Songs Of All Time ⭐ Don Williams, Alan Jackson, Willie Nelson, George Strait.wav",Country,English,1,2
/content/english/Country/Greatest Hits Classic Country Songs Of All Time - Top 50 Country Music Collection - Country Songs.wav,Country,English,1,0
/content/english/Country/Blake Shelton - God's Country (Official Music Video).wav,Country,English,6,4
/content/english/Country/Country Music 2026 - Top Country Songs Playlist - Morgan Wallen Zach Bryan Luke Combs Thomas Rhett.wav,Country,English,6,2
/content/bangla/Baul/পাখি খাঁচা ছেড়ে যায় ｜ Mystical Baul Song ｜ Bangla Folk Song ｜ Moner Manush Baul Gaan.wav,Baul,Bangla,4,4
/content/bangla/Baul/Ecstatic Baul Masters Transport Audiences to Mystic Realms ｜ Traditional Bengali Folk Performance.wav,Baul,Bangla,5,1
/content/bangla/Baul/Baul Songs.wav,Baul,Bangla,5,0
/content/bangla/Baul/MYSTIC BAUL OF BENGAL BONOMALI.wav,Baul,Bangla,3,0
/content/bangla/Baul/Songs of mystic minstrels – Baul Song from Bengal.wav,Baul,Bangla,3,7
/content/bangla/Baul/তোমারে না দেখলে রাধার ｜ Bangla Folk Song ｜ Baul Faridul.wav,Baul,Bangla,3,0
/content/bangla/Baul/কোন সাধনে পাবো তোমায় — Kon Shadhone Pabo Tomay ｜ বাংলা নতুন ফোক গান ｜ Bangla Folk Song.wav,Baul,Bangla,3,1
/content/bangla/Baul/Amar Bhetor Ami Ke (আমার ভেতর আমি কে) ｜ Parvathy Baul ｜ Traditional Folk Music ｜ Bangla Song ｜ FFR.wav,Baul,Bangla,5,0
/content/bangla/Baul/Who is Baul  ｜ Trailer ｜ Documentary Film ｜ Mystic Musicians of Bengal ｜ 4K.wav,Baul,Bangla,5,1
/content/bangla/Baul/'Sri Charon Paabo' by Parvathy Baul.wav,Baul,Bangla,5,3
/content/bangla/Baul/সেরা বাংলা ফোক গান ｜ Best of Bangla Folk Songs Album ｜ Bangla Folk Mix ｜ Bangla Folk Song Collection.wav,Baul,Bangla,1,3
/content/bangla/Baul/হৃদয় ছোঁয়া বাউল গান ｜ Bangla Baul Songs Album ｜ Nonstop Bengali Folk Music.wav,Baul,Bangla,1,2
/content/bangla/Baul/'Kichhu Din Mone Mone' by Parvathy Baul.wav,Baul,Bangla,5,4
/content/bangla/Baul/অচিন সুরের টান ｜ Heart Touching Baul Folk Song ｜ Mystic Bengali Song ｜ Apsara Music.wav,Baul,Bangla,5,0
/content/bangla/Baul/Soulful Folk Music Mukta Singer Mystic Baul Song from Bangladesh.wav,Baul,Bangla,6,2
/content/bangla/Baul/Amazing Baul Song Collection ｜ Kartik Das Baul ｜ Bengali Folk Songs.wav,Baul,Bangla,3,2
/content/bangla/Baul/The Mystical Love of Bangla Baul Songs ｜｜ কষ্টের বাউল গান ｜｜ বাউল গান ｜｜ Bagla Baoul gan.wav,Baul,Bangla,3,7
