genre,language,kmeans_mlp,kmeans_beta,kmeans_cvae,kmeans_pca
Classical,English,13,11,18,17
Experimental,English,0,18,4,8
Electronic,English,15,4,5,14
Experimental,English,11,1,13,9
Electronic,English,8,0,0,10
Experimental,English,2,9,1,5
Rock,English,14,14,12,0
International,English,13,7,18,15
Electronic,English,15,12,0,10
Rock,English,5,18,4,8
Electronic,English,16,14,11,18
Experimental,English,10,3,2,3
Pop,English,3,13,14,7
Rock,English,5,15,3,8
Rock,English,16,12,15,1
Jazz,English,11,12,15,1
Rock,English,5,18,4,8
Experimental,English,15,16,0,10
Electronic,English,1,11,18,17
Hip-Hop,English,15,12,5,10
International,English,15,16,0,6
Experimental,English,4,5,16,15
Rock,English,16,14,12,8
Hip-Hop,English,15,0,12,6
Electronic,English,0,9,13,13
Electronic,English,3,4,5,14
Electronic,English,18,18,10,2
Electronic,English,0,17,13,13
Electronic,English,15,0,12,6
Experimental,English,2,9,1,5
Experimental,English,15,16,0,10
Instrumental,English,0,9,13,5
Hip-Hop,English,8,15,5,8
Pop,English,3,15,3,8
Rock,English,8,15,11,18
Rock,English,5,15,4,8
Electronic,English,2,9,1,5
Classical,English,10,11,2,17
Rock,English,14,17,13,13
Electronic,English,16,0,12,0
Rock,English,5,18,4,8
Rock,English,12,18,4,1
Rock,English,16,4,15,14
Experimental,English,0,18,13,9
Jazz,English,4,15,16,8
Rock,English,11,18,10,2
Electronic,English,16,0,12,0
Pop,English,16,14,12,14
Rock,English,0,1,13,9
Folk,English,1,7,8,4
Classical,English,13,11,18,17
Electronic,English,8,12,11,18
Rock,English,5,18,4,8
Folk,English,3,15,4,11
Pop,English,14,0,12,0
Rock,English,7,15,17,8
Rock,English,17,15,3,11
Rock,English,3,5,6,15
Rock,English,5,14,4,8
Rock,English,0,18,4,8
Electronic,English,6,12,10,1
Electronic,English,16,18,15,1
Electronic,English,3,12,5,10
Rock,English,16,12,15,1
Old-Time / Historic,English,10,3,2,3
Experimental,English,6,3,16,3
Folk,English,13,11,8,17
Rock,English,7,15,17,14
Rock,English,3,4,12,14
Folk,English,8,2,6,4
Experimental,English,0,17,13,13
Old-Time / Historic,English,10,3,2,3
Experimental,English,15,4,0,14
Rock,English,5,15,4,8
Folk,English,4,5,16,15
Hip-Hop,English,15,4,5,14
Rock,English,0,18,13,1
Rock,English,0,1,13,9
Rock,English,7,18,17,12
Hip-Hop,English,16,12,0,10
Rock,English,15,16,5,10
Experimental,English,1,7,6,4
Experimental,English,4,5,16,15
Rock,English,0,1,15,9
Electronic,English,6,5,8,15
Hip-Hop,English,7,2,17,12
Electronic,English,2,6,1,5
Hip-Hop,English,15,16,5,6
Folk,English,17,15,3,8
Electronic,English,11,2,10,2
Hip-Hop,English,15,0,5,6
Hip-Hop,English,18,4,10,18
Hip-Hop,English,14,14,12,14
Experimental,English,18,14,5,14
International,English,0,1,13,9
Rock,English,0,1,13,9
Hip-Hop,English,3,4,5,14
Electronic,English,8,9,11,18
Rock,English,16,12,15,1
Electronic,English,18,0,10,10
Classical,English,14,0,7,17
Spoken,English,1,7,18,4
Electronic,English,1,11,16,15
Electronic,English,12,14,5,14
Experimental,English,8,0,11,6
Rock,English,17,8,3,11
Rock,English,17,8,3,11
Folk,English,15,16,0,6
Electronic,English,6,2,7,1
International,English,18,0,11,18
Hip-Hop,English,15,12,0,10
Rock,English,5,17,4,8
Electronic,English,15,16,0,10
Electronic,English,8,0,11,6
Pop,English,11,18,4,8
Rock,English,16,2,15,1
Electronic,English,18,6,11,18
Hip-Hop,English,15,0,5,14
Pop,English,7,9,17,12
Rock,English,0,18,13,8
Experimental,English,16,2,15,1
Electronic,English,3,4,5,7
Hip-Hop,English,3,16,5,7
Rock,English,8,18,11,18
Folk,English,6,0,12,0
Rock,English,0,18,15,9
Experimental,English,16,7,15,4
Experimental,English,3,13,3,7
Experimental,English,0,9,13,9
Instrumental,English,1,11,18,4
Rock,English,0,1,15,9
Instrumental,English,13,11,18,17
Pop,English,11,18,11,1
Rock,English,5,15,4,8
Experimental,English,17,17,3,13
Experimental,English,3,12,18,1
Hip-Hop,English,14,12,7,10
Experimental,English,1,7,18,4
Experimental,English,5,1,4,8
Hip-Hop,English,3,4,5,7
Folk,English,6,14,8,0
Pop,English,11,5,10,15
Electronic,English,14,12,7,1
Old-Time / Historic,English,10,3,2,3
Rock,English,18,18,10,8
Electronic,English,2,6,1,0
Electronic,English,12,14,17,12
Experimental,English,15,12,0,10
Electronic,English,16,9,1,5
Rock,English,17,17,3,8
Experimental,English,2,9,1,5
Experimental,English,9,13,14,7
Experimental,English,16,0,0,10
Electronic,English,6,2,8,1
Experimental,English,3,13,3,7
Experimental,English,5,4,5,14
Electronic,English,3,15,3,11
Experimental,English,13,10,9,16
Experimental,English,0,18,15,1
Folk,English,11,12,10,1
Folk,English,4,12,6,15
Folk,English,4,5,16,15
Hip-Hop,English,11,12,10,2
Folk,English,4,3,16,15
Spoken,English,12,0,7,10
Jazz,English,2,2,1,10
Rock,English,11,1,10,2
Electronic,English,3,16,5,7
Electronic,English,17,8,3,11
Electronic,English,9,13,14,7
Hip-Hop,English,14,12,0,10
Instrumental,English,1,11,18,4
Rock,English,0,1,13,9
Electronic,English,12,0,7,0
Folk,English,8,12,11,18
Pop,English,16,2,15,0
Classical,English,1,9,18,5
Experimental,English,14,14,12,14
Rock,English,11,17,4,13
Hip-Hop,English,18,4,12,14
Hip-Hop,English,7,9,17,12
Rock,English,5,17,4,8
Rock,English,17,17,11,11
Rock,English,16,18,15,5
Electronic,English,3,4,12,14
Rock,English,4,5,5,1
Classical,English,13,11,9,17
Rock,English,17,8,3,11
Hip-Hop,English,14,14,12,14
Rock,English,0,18,13,8
Experimental,English,12,1,7,9
Hip-Hop,English,4,12,0,10
Experimental,English,17,17,3,13
International,English,8,4,11,18
Jazz,English,18,12,5,1
Experimental,English,1,9,1,5
Classical,English,10,3,2,3
Electronic,English,6,12,10,2
Experimental,English,0,18,15,9
Rock,English,15,0,0,10
Folk,English,7,18,17,12
Folk,English,4,5,16,15
